nsecode,name,bsecode,per_chg,close,volume
CUMMINSIND,Cummins India Limited,500480,6.52,3535.85,977534
ASHOKLEY,Ashok Leyland Limited,500477,4.89,234.91,18430774
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.48,376.85,9614696
HAL,Hindustan Aeronautics Ltd,541154,4.34,4289.95,2249045
LT,Larsen & Toubro Limited,500510,4.15,3753.0,4753829
BEL,Bharat Electronics Limited,500049,4.09,292.35,49366681
LAURUSLABS,Laurus Labs Limited,540222,3.79,532.05,4181249
ABFRL,Aditya Birla Fashion And Retail Limited,535755,3.5,298.65,6635749
SBIN,State Bank Of India,500112,3.48,844.45,23434605
MPHASIS,Mphasis Limited,526299,3.43,2982.4,920408
SHRIRAMFIN,Shriram Finance Ltd,511218,3.43,2947.8,2758308
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.28,479.2,1627603
PETRONET,Petronet Lng Limited,532522,3.17,333.85,4750266
CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,3.15,405.45,2408459
TORNTPHARM,Torrent Pharmaceuticals Limited,500420,3.14,3266.6,637198
NAVINFLUOR,Navin Fluorine International Limited,532504,3.13,3430.95,151165
GODREJPROP,Godrej Properties Limited,533150,3.01,2943.05,1805773
