nsecode,name,bsecode,per_chg,close,volume
GAIL,Gail (india) Limited,532155,12.97,230.8,106239940
PFC,Power Finance Corporation Limited,532810,12.66,554.8,44287988
RECLTD,Rural Electrification Corporation Limited,532955,12.41,604.5,42463764
BANKBARODA,Bank Of Baroda,532134,12.1,296.95,74818392
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,10.2,1583.95,23398347
CONCOR,Container Corporation Of India Limited,531344,9.25,1174.25,7777140
NTPC,Ntpc Limited,532555,9.14,391.8,39261174
SBIN,State Bank Of India,500112,9.07,905.65,64269020
POWERGRID,Power Grid Corporation Of India Limited,532898,8.92,337.65,55218939
CANBK,Canara Bank,532483,8.69,128.25,93777898
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,8.38,582.4,19533213
IOC,Indian Oil Corporation Limited,530965,7.94,175.3,62214295
BEL,Bharat Electronics Limited,500049,7.67,318.65,67256146
LICHSGFIN,Lic Housing Finance Limited,500253,7.63,680.95,5954520
ONGC,Oil & Natural Gas Corporation Limited,500312,7.47,284.1,30195397
ADANIENT,Adani Enterprises Limited,512599,6.86,3645.25,8511359
GODREJPROP,Godrej Properties Limited,533150,6.7,2964.75,2080492
SHRIRAMFIN,Shriram Finance Ltd,511218,6.59,2509.15,3032359
DLF,Dlf Limited,532868,6.56,869.15,9999975
PETRONET,Petronet Lng Limited,532522,6.52,316.75,9208116
RBLBANK,Rbl Bank Limited,540065,6.33,261.25,19552284
MGL,Mahanagar Gas Limited,539957,6.21,1378.6,1336228
LT,Larsen & Toubro Limited,500510,6.21,3897.15,5767666
BPCL,Bharat Petroleum Corporation Limited,500547,6.11,666.15,16914117
PNB,Punjab National Bank,532461,5.83,137.0,95948403
AMBUJACEM,Ambuja Cements Limited,500425,5.8,670.8,11189978
RELIANCE,Reliance Industries Limited,500325,5.59,3020.65,10763971
ASHOKLEY,Ashok Leyland Limited,500477,5.58,236.5,27249178
GRANULES,Granules India Limited,532482,5.4,441.1,2268069
ACC,Acc Limited,500410,5.36,2682.8,1017937
AXISBANK,Axis Bank Limited,532215,5.31,1223.9,22197339
HDFCAMC,HDFC Asset Management Company Ltd,541729,5.3,4090.2,1475143
M&M,Mahindra & Mahindra Limited,500520,5.1,2634.0,2701157
SAIL,Steel Authority Of India Limited,500113,4.95,166.35,33154820
INDUSINDBK,Indusind Bank Limited,532187,4.64,1529.7,8265525
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,4.61,407.1,1587585
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,4.55,364.0,29686486
TATAPOWER,Tata Power Company Limited,500400,4.53,456.55,25033120
LTF,L&T Finance Ltd,533519,4.41,159.7,5183145
GMRINFRA,Gmr Infrastructure Limited,532754,4.37,88.3,58456620
COALINDIA,Coal India Limited,533278,4.31,512.35,24416215
BHEL,Bharat Heavy Electricals Limited,500103,4.2,311.45,33744563
JKCEMENT,Jk Cement Limited,532644,3.97,4025.95,207013
JSWSTEEL,Jsw Steel Limited,500228,3.95,915.3,2541803
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.83,1288.65,1873865
OBEROIRLTY,Oberoi Realty Limited,533273,3.53,1883.95,968545
AUROPHARMA,Aurobindo Pharma Limited,524804,3.52,1227.4,1782095
ICICIBANK,Icici Bank Limited,532174,3.47,1160.0,25699977
BHARATFORG,Bharat Forge Limited,500493,3.45,1608.25,1873076
VOLTAS,Voltas Limited,500575,3.43,1406.3,1684565
INDHOTEL,The Indian Hotels Company Limited,500850,3.43,576.5,6380437
GUJGASLTD,Gujarat Gas Limited,539336,3.28,569.45,2601074
IEX,Indian Energy Exchange Ltd,540750,3.04,157.8,12225688
