nsecode,name,bsecode,per_chg,close,volume
SONACOMS,Sona BLW Precision Forgings Ltd,543300,6.95,487.8,8264444
MCX,Multi Commodity Exchange Of India Limited,534091,5.96,2418.0,6439930
AXISBANK,Axis Bank Limited,532215,4.59,1315.8,22715357
JSWSTEEL,Jsw Steel Limited,500228,4.44,1222.0,3808562
SAIL,Steel Authority Of India Limited,500113,4.38,155.56,40035179
HINDZINC,Hindustan Zinc Limited,500188,4.08,727.2,25791996
NATIONALUM,National Aluminium Company Limited,532234,3.76,384.6,15593346
GRASIM,Grasim Industries Limited,500300,3.52,2856.2,1521231
VEDL,Vedanta Limited,500295,3.11,705.45,18667388
APLAPOLLO,Apl Apollo Tubes Limited,533758,3.02,2060.6,2529874
