nsecode,name,bsecode,close,per_chg,volume
SAMMAANCAP,Sammaan Capital Ltd,535789,146.88,6.04,113750336
SHRIRAMFIN,Shriram Finance Ltd,511218,956.0,5.8,14265748
MUTHOOTFIN,Muthoot Finance Limited,533398,3320.2,5.23,1080479
INDIANB,Indian Bank Ltd,532814,909.05,4.31,2602754
HINDZINC,Hindustan Zinc Limited,500188,517.7,4.15,8498265
ABCAPITAL,Aditya Birla Capital Ltd,540691,314.7,4.07,5956917
AUBANK,AU Small Finance Bank Ltd,540611,910.4,3.75,2124903
UNIONBANK,Union Bank Of India Ltd,532477,180.32,3.74,17554430
CGPOWER,CG Power and Industrial Solutions Ltd,500093,692.25,3.74,2736013
TITAN,Titan Company Limited,500114,4039.3,3.59,1306823
GLENMARK,Glenmark Pharmaceuticals Limited,532296,2168.5,3.47,446774
SONACOMS,Sona BLW Precision Forgings Ltd,543300,511.45,3.39,1883357
ASTRAL,Astral Ltd,532830,1646.6,3.27,702340
DRREDDY,Dr. Reddy's Laboratories Limited,500124,1300.7,3.26,1577150
FEDERALBNK,The Federal Bank  Limited,500469,270.95,3.22,9709681
LAURUSLABS,Laurus Labs Limited,540222,1023.5,3.11,1421805
TATASTEEL,Tata Steel Limited,500470,196.65,3.07,34767360
