bsecode,close,name,nsecode,per_chg,volume
500251,1262.05,Trent Limited,TRENT,7.75,4537229.0
500670,759.3,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,7.28,11345566.0
506395,849.45,Coromandel International Limited,COROMANDEL,6.21,1124743.0
503806,2588.2,Srf Limited,SRF,4.82,1593596.0
532432,919.55,United Spirits Limited,MCDOWELL-N,4.82,3898848.0
500228,685.1,Jsw Steel Limited,JSWSTEEL,4.56,9991824.0
500114,2703.0,Titan Company Limited,TITAN,4.47,3336088.0
512599,1819.65,Adani Enterprises Limited,ADANIENT,3.51,2392329.0
532504,4087.4,Navin Fluorine International Limited,NAVINFLUOR,3.37,220825.0
500800,772.3,TATA Consumer Products Ltd,TATACONSUM,3.27,3099238.0
500325,2481.7,Reliance Industries Limited,RELIANCE,3.26,9886295.0
511243,719.85,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,3.22,2591783.0
500470,1303.45,Tata Steel Limited,TATASTEEL,3.02,10623976.0
