nsecode,name,bsecode,per_chg,close,volume
GODREJPROP,Godrej Properties Limited,533150,6.84,3192.35,2827062
ABFRL,Aditya Birla Fashion And Retail Limited,535755,5.11,344.5,12342152
GAIL,Gail (india) Limited,532155,3.85,220.33,17538036
ESCORTS,Escorts Limited,500495,3.79,4233.9,543508
GRANULES,Granules India Limited,532482,3.76,560.2,4401317
DLF,Dlf Limited,532868,3.65,909.65,6822019
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.51,332.0,2714224
IEX,Indian Energy Exchange Ltd,540750,3.47,239.37,17229006
UNITDSPR,United Spirits Ltd,532432,3.44,1628.25,670632
M&M,Mahindra & Mahindra Limited,500520,3.35,3049.8,3925490
JKCEMENT,Jk Cement Limited,532644,3.25,4783.05,165184
BEL,Bharat Electronics Limited,500049,3.23,286.3,19445968
ONGC,Oil & Natural Gas Corporation Limited,500312,3.21,295.45,14621229
MFSL,Max Financial Services Limited,500271,3.18,1195.95,642408
BHEL,Bharat Heavy Electricals Limited,500103,3.02,274.2,21859230
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,3.0,791.05,1326368
