bsecode,close,name,nsecode,per_chg,volume
532134,158.35,Bank Of Baroda,BANKBARODA,9.55,144518304.0
500825,4139.25,Britannia Industries Limited,BRITANNIA,8.81,3142443.0
500008,601.85,Amara Raja Batteries Limited,AMARAJABAT,5.7,6115514.0
513599,112.8,Hindustan Copper Limited,HINDCOPPER,4.49,6283812.0
532483,309.45,Canara Bank,CANBK,4.16,23526948.0
500877,300.75,Apollo Tyres Limited,APOLLOTYRE,4.1,5723504.0
500113,87.1,Steel Authority Of India Limited,SAIL,3.57,38020780.0
532286,494.05,Jindal Steel & Power Limited,JINDALSTEL,3.5,4952724.0
540691,128.5,Aditya Birla Capital Ltd,ABCAPITAL,3.5,13578470.0
500112,614.15,State Bank Of India,SBIN,3.4,44265903.0
512599,3960.6,Adani Enterprises Limited,ADANIENT,3.32,5985652.0
532210,196.25,City Union Bank Limited,CUB,3.26,10138415.0
