nsecode,name,bsecode,per_chg,close,volume
IIFL,Iifl Holdings Limited,532636,8.07,487.45,10404725
BANDHANBNK,Bandhan Bank Ltd,541153,7.31,186.24,46611797
MANAPPURAM,Manappuram Finance Limited,531213,6.96,264.78,28768253
RBLBANK,Rbl Bank Limited,540065,5.82,230.29,27060413
HINDZINC,Hindustan Zinc Limited,500188,4.53,525.0,12608520
BANKINDIA,Bank Of India,532149,3.96,129.31,23756753
LAURUSLABS,Laurus Labs Limited,540222,3.94,667.35,3895711
MUTHOOTFIN,Muthoot Finance Limited,533398,3.83,2539.9,1858820
BHARATFORG,Bharat Forge Limited,500493,3.72,1344.6,2575104
IEX,Indian Energy Exchange Ltd,540750,3.55,209.31,35814295
JIOFIN,Jio Financial Services Ltd,20712,3.49,304.25,26608267
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.23,1644.6,2938014
KOTAKBANK,Kotak Mahindra Bank Limited,500247,3.13,2138.2,5779088
JSL,Jindal Stainless Limited,532508,3.12,716.35,2320038
