nsecode,name,bsecode,close,per_chg,volume
EXIDEIND,Exide Industries Limited,500086,394.15,7.62,24044078
CGPOWER,CG Power and Industrial Solutions Ltd,500093,934.8,6.33,9258467
TIINDIA,Tube Investments of India Ltd,540762,3210.5,5.64,647171
SIEMENS,Siemens Limited,500550,3878.7,5.48,1738785
SUZLON,Suzlon Energy Limited,532667,57.53,5.4,227745007
ADANIENSOL,Adani Energy Solutions Ltd,539254,1540.1,5.25,7841736
MOTHERSON,Samvardhana Motherson International Ltd,517334,142.41,4.85,50082550
JSWENERGY,Jsw Energy Limited,533148,602.05,4.52,10917970
HINDALCO,Hindalco Industries Limited,500440,1149.7,4.16,7559470
NATIONALUM,National Aluminium Company Limited,532234,433.05,4.05,15519448
TMPV,Tata Motors Passenger Vehicles Ltd,500570,400.95,3.98,16294686
SAMMAANCAP,Sammaan Capital Ltd,535789,173.32,3.35,33567073
