nsecode,name,bsecode,per_chg,close,volume
BALRAMCHIN,Balrampur Chini Mills Limited,500038,7.3,570.85,8331451
SBILIFE,SBI Life Insurance Company Ltd,540719,5.37,1761.3,3951662
HDFCLIFE,HDFC Life Insurance Company Ltd,540777,3.63,710.6,6828474
APOLLOTYRE,Apollo Tyres Limited,500877,3.32,499.05,3164460
PFC,Power Finance Corporation Limited,532810,3.22,521.2,12169319
VOLTAS,Voltas Limited,500575,3.2,1659.15,4524759
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,3.12,742.5,2867974
MANAPPURAM,Manappuram Finance Limited,531213,3.05,208.38,6171762
