nsecode,name,bsecode,per_chg,close,volume
PFC,Power Finance Corporation Limited,532810,9.03,365.15,51298211
RECLTD,Rural Electrification Corporation Limited,532955,7.26,374.0,39839613
ZEEL,Zee Entertainment Enterprises Limited,505537,5.31,266.55,34690283
CANFINHOME,Can Fin Homes Limited,511196,4.15,813.55,1918869
PNB,Punjab National Bank,532461,3.99,80.7,84958693
COLPAL,Colgate Palmolive (india) Limited,500830,3.78,2279.25,637907
APOLLOTYRE,Apollo Tyres Limited,500877,3.52,442.45,4870523
HAL,Hindustan Aeronautics Ltd,541154,3.46,2462.25,4012398
BHARATFORG,Bharat Forge Limited,500493,3.24,1156.5,2714425
ITC,Itc Limited,500875,3.21,449.8,19336856
JINDALSTEL,Jindal Steel & Power Limited,532286,3.19,692.2,2180409
GAIL,Gail (india) Limited,532155,3.15,136.05,53660727
TATAPOWER,Tata Power Company Limited,500400,3.02,276.0,32159928
