bsecode,close,name,nsecode,per_chg,volume
532514,408.1,Indraprastha Gas Limited,IGL,7.45,15725908.0
500480,1237.6,Cummins India Limited,CUMMINSIND,6.03,1889729.0
539957,860.35,Mahanagar Gas Limited,MGL,5.92,3346586.0
535755,291.3,Aditya Birla Fashion And Retail Limited,ABFRL,5.09,5786310.0
541154,2264.45,Hindustan Aeronautics Ltd,HAL,4.43,2761026.0
532134,123.2,Bank Of Baroda,BANKBARODA,3.83,35838299.0
533519,76.8,L&t Finance Holdings Limited,L&TFH,3.64,9955467.0
500850,277.2,The Indian Hotels Company Limited,INDHOTEL,3.34,12219650.0
540691,108.8,Aditya Birla Capital Ltd,ABCAPITAL,3.03,4258137.0
