nsecode,name,bsecode,per_chg,close,volume
RECLTD,Rural Electrification Corporation Limited,532955,8.97,444.8,43470874
PFC,Power Finance Corporation Limited,532810,8.24,421.8,47230397
GMRINFRA,Gmr Infrastructure Limited,532754,7.38,77.15,139161372
NMDC,Nmdc Limited,526371,4.7,191.65,21932990
BIOCON,Biocon Limited,532523,4.46,249.3,4745442
TVSMOTOR,Tvs Motor Company Limited,532343,4.36,2022.3,2224533
NTPC,Ntpc Limited,532555,3.76,294.05,23629670
SAIL,Steel Authority Of India Limited,500113,3.25,103.25,42797594
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,3.24,207.0,18079174
HEROMOTOCO,Hero Motocorp Limited,500182,3.1,3863.3,1355603
