nsecode,name,bsecode,per_chg,close,volume
RECLTD,Rural Electrification Corporation Limited,532955,9.22,553.9,83160192
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,9.08,1301.6,7345047
INDIAMART,Indiamart Intermesh Ltd,542726,8.21,2861.05,3234178
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,7.69,533.5,21695417
PFC,Power Finance Corporation Limited,532810,5.96,467.85,55752960
TRENT,Trent Limited,500251,5.37,4646.7,1998618
ASHOKLEY,Ashok Leyland Limited,500477,4.52,201.35,50511799
BPCL,Bharat Petroleum Corporation Limited,500547,4.49,634.65,15883066
BIOCON,Biocon Limited,532523,4.14,310.9,15169926
BHEL,Bharat Heavy Electricals Limited,500103,3.9,292.7,52394156
POWERGRID,Power Grid Corporation Of India Limited,532898,3.89,313.6,44059506
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,3.61,988.0,2760717
ESCORTS,Escorts Limited,500495,3.61,3479.8,430222
GMRINFRA,Gmr Infrastructure Limited,532754,3.52,88.15,69372247
FEDERALBNK,The Federal Bank  Limited,500469,3.32,168.0,75875713
PETRONET,Petronet Lng Limited,532522,3.28,320.75,16715887
VEDL,Vedanta Limited,500295,3.26,410.8,12788526
INDIGO,Interglobe Aviation Limited,539448,3.16,4108.25,1197616
OBEROIRLTY,Oberoi Realty Limited,533273,3.1,1529.35,760770
