bsecode,close,name,nsecode,per_chg,volume
540719,1294.4,SBI Life Insurance Company Ltd,SBILIFE,8.64,7628351.0
524715,943.2,Sun Pharmaceuticals Industries Limited,SUNPHARMA,5.4,11315800.0
532689,2144.25,Pvr Limited,PVR,4.91,1226543.0
530005,196.85,The India Cements Limited,INDIACEM,4.9,4152834.0
540133,553.6,Icici Prudential Life Insurance Company Limited,ICICIPRULI,4.45,2000993.0
532779,524.75,Torrent Power Limited,TORNTPOWER,4.36,783185.0
532343,908.05,Tvs Motor Company Limited,TVSMOTOR,4.3,9480378.0
500043,1961.65,Bata India Limited,BATAINDIA,4.26,777753.0
533278,211.25,Coal India Limited,COALINDIA,4.14,12477455.0
531344,712.75,Container Corporation Of India Limited,CONCOR,3.89,2506702.0
