bsecode,close,name,nsecode,per_chg,volume
500570,479.2,Tata Motors Limited,TATAMOTORS,6.58,43084536.0
500520,1237.75,Mahindra & Mahindra Limited,M&M,6.29,12673841.0
532659,57.9,Idfc Limited,IDFC,5.95,15331305.0
532921,801.25,Adani Ports And Special Economic Zone Limited,ADANIPORTS,4.92,6459641.0
511243,733.85,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,4.73,4675128.0
500670,752.6,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,4.27,2022323.0
500770,944.05,Tata Chemicals Limited,TATACHEM,3.75,1450419.0
512599,2660.15,Adani Enterprises Limited,ADANIENT,3.54,1267039.0
512070,767.35,Upl Limited,UPL,3.54,7797234.0
500477,154.25,Ashok Leyland Limited,ASHOKLEY,3.52,32008127.0
500049,284.2,Bharat Electronics Limited,BEL,3.27,8060371.0
517354,1287.9,Havells India Limited,HAVELLS,3.09,1026659.0
502355,2380.95,Balkrishna Industries Limited,BALKRISIND,3.02,486720.0
