nsecode,name,bsecode,per_chg,close,volume
WAAREEENER,Waaree Energies Ltd,544277,10.99,3102.4,8624667
ADANIENSOL,Adani Energy Solutions Ltd,539254,10.15,974.4,5085074
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,9.1,1530.8,11977119
KEI,Kei Industries Limited,517569,7.04,4367.0,969623
BAJFINANCE,Bajaj Finance Limited,500034,6.72,964.4,15261370
BHARATFORG,Bharat Forge Limited,500493,6.6,1539.0,5756431
MOTHERSON,Samvardhana Motherson International Ltd,517334,6.34,121.32,35289099
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,6.28,1694.4,2972692
SONACOMS,Sona BLW Precision Forgings Ltd,543300,6.15,530.2,15751143
UPL,Upl Limited,512070,5.91,739.8,7513174
360ONE,360 ONE WAM Ltd,542772,5.14,1167.6,1208601
AUROPHARMA,Aurobindo Pharma Limited,524804,4.71,1226.1,2827489
SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,4.56,1702.1,8520586
IDFCFIRSTB,IDFC First Bank Ltd,539437,4.48,84.85,34975303
SIEMENS,Siemens Limited,500550,3.94,3211.7,555228
HDFCAMC,HDFC Asset Management Company Ltd,541729,3.93,2671.3,2576323
BHEL,Bharat Heavy Electricals Limited,500103,3.74,267.9,8088230
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.72,345.45,7998256
NYKAA,FSN E-Commerce Ventures Ltd,543384,3.28,245.41,7389809
UNOMINDA,Uno Minda Ltd,532539,3.04,1214.0,898618
VOLTAS,Voltas Limited,500575,3.02,1366.9,885505
