nsecode,name,bsecode,per_chg,close,volume
CIPLA,Cipla Limited,500087,9.64,1171.45,14590950
RECLTD,Rural Electrification Corporation Limited,532955,8.44,188.2,59887084
COLPAL,Colgate Palmolive (india) Limited,500830,6.28,2001.9,3728079
BSOFT,Birlasoft Ltd,532400,6.04,402.2,12816622
SYNGENE,Syngene International Limited,539268,5.87,807.05,4656626
AUROPHARMA,Aurobindo Pharma Limited,524804,5.84,835.55,6337801
DLF,Dlf Limited,532868,4.75,510.8,8431778
GRANULES,Granules India Limited,532482,4.4,321.65,5886341
PFC,Power Finance Corporation Limited,532810,4.39,253.35,21043456
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,4.3,649.5,2686026
LUPIN,Lupin Limited,500257,4.07,979.7,3313759
MARICO,Marico Limited,531642,4.01,554.05,3733012
IPCALAB,Ipca Laboratories Limited,524494,3.95,826.75,1103966
TATACOMM,Tata Communications Limited,500483,3.6,1727.5,1838056
UBL,United Breweries Limited,532478,3.4,1551.3,777000
